hRate,dTime,landscape,patch,gen,count,harvest
0.5,24,5,3,0,0,0
0.5,24,5,4,0,0,0
0.5,24,5,5,0,0,0
0.5,24,5,6,0,0,0
0.5,24,6,1,0,20,0
0.5,24,6,2,0,0,0
0.5,24,6,3,0,0,0
0.5,24,6,4,0,0,0
0.5,24,6,5,0,0,0
0.5,24,6,6,0,0,0
0.75,24,5,1,0,20,0
0.75,24,5,2,0,0,0
0.75,24,5,3,0,0,0
0.75,24,5,4,0,0,0
0.75,24,5,5,0,0,0
0.75,24,5,6,0,0,0
0.75,24,6,1,0,20,0
0.75,24,6,2,0,0,0
0.75,24,6,3,0,0,0
0.75,24,6,4,0,0,0
0.75,24,6,5,0,0,0
0.75,24,6,6,0,0,0
0,1,7,1,0,20,0
0,1,7,2,0,0,0
0,1,7,3,0,0,0
0,1,7,4,0,0,0
0,1,7,5,0,0,0
0,1,7,6,0,0,0
0,1,8,1,0,20,0
0,1,8,2,0,0,0
0,1,8,3,0,0,0
0,1,8,4,0,0,0
0,1,8,5,0,0,0
0,1,8,6,0,0,0
0.25,1,7,1,0,20,0
0.25,1,7,2,0,0,0
0.25,1,7,3,0,0,0
0.25,1,7,4,0,0,0
0.25,1,7,5,0,0,0
0.25,1,7,6,0,0,0
0.25,1,8,1,0,20,0
0.25,1,8,2,0,0,0
0.25,1,8,3,0,0,0
0.25,1,8,4,0,0,0
0.25,1,8,5,0,0,0
0.25,1,8,6,0,0,0
0.5,1,7,1,0,20,0
0.5,1,7,2,0,0,0
0.5,1,7,3,0,0,0
0.5,1,7,4,0,0,0
0.5,1,7,5,0,0,0
0.5,1,7,6,0,0,0
0.5,1,8,1,0,20,0
0.5,1,8,2,0,0,0
0.5,1,8,3,0,0,0
0.5,1,8,4,0,0,0
0.5,1,8,5,0,0,0
0.5,1,8,6,0,0,0
0.75,1,7,1,0,20,0
0.75,1,7,2,0,0,0
0.75,1,7,3,0,0,0
0.75,1,7,4,0,0,0
0.75,1,7,5,0,0,0
0.75,1,7,6,0,0,0
0.75,1,8,1,0,20,0
0.75,1,8,2,0,0,0
0.75,1,8,3,0,0,0
0.75,1,8,4,0,0,0
0.75,1,8,5,0,0,0
0.75,1,8,6,0,0,0
0,6,7,1,0,20,0
0,6,7,2,0,0,0
0,6,7,3,0,0,0
0,6,7,4,0,0,0
0,6,7,5,0,0,0
0,6,7,6,0,0,0
0,6,8,1,0,20,0
0,6,8,2,0,0,0
0,6,8,3,0,0,0
0,6,8,4,0,0,0
0,6,8,5,0,0,0
0,6,8,6,0,0,0
0.25,6,7,1,0,20,0
0.25,6,7,2,0,0,0
0.25,6,7,3,0,0,0
0.25,6,7,4,0,0,0
0.25,6,7,5,0,0,0
0.25,6,7,6,0,0,0
0.25,6,8,1,0,20,0
0.25,6,8,2,0,0,0
0.25,6,8,3,0,0,0
0.25,6,8,4,0,0,0
0.25,6,8,5,0,0,0
0.25,6,8,6,0,0,0
0.5,6,7,1,0,20,0
0.5,6,7,2,0,0,0
0.5,6,7,3,0,0,0
0.5,6,7,4,0,0,0
0.5,6,7,5,0,0,0
0.5,6,7,6,0,0,0
0.5,6,8,1,0,20,0
0.5,6,8,2,0,0,0
0.5,6,8,3,0,0,0
0.5,6,8,4,0,0,0
0.5,6,8,5,0,0,0
0.5,6,8,6,0,0,0
0.75,6,7,1,0,20,0
0.75,6,7,2,0,0,0
0.75,6,7,3,0,0,0
0.75,6,7,4,0,0,0
0.75,6,7,5,0,0,0
0.75,6,7,6,0,0,0
0.75,6,8,1,0,20,0
0.75,6,8,2,0,0,0
0.75,6,8,3,0,0,0
0.75,6,8,4,0,0,0
0.75,6,8,5,0,0,0
0.75,6,8,6,0,0,0
0,24,7,1,0,20,0
0,24,7,2,0,0,0
0,24,7,3,0,0,0
0,24,7,4,0,0,0
0,24,7,5,0,0,0
0,24,7,6,0,0,0
0,24,8,1,0,20,0
0,24,8,2,0,0,0
0,24,8,3,0,0,0
0,24,8,4,0,0,0
0,24,8,5,0,0,0
0,24,8,6,0,0,0
0.25,24,7,1,0,20,0
0.25,24,7,2,0,0,0
0.25,24,7,3,0,0,0
0.25,24,7,4,0,0,0
0.25,24,7,5,0,0,0
0.25,24,7,6,0,0,0
0.25,24,8,1,0,20,0
0.25,24,8,2,0,0,0
0.25,24,8,3,0,0,0
0.25,24,8,4,0,0,0
0.25,24,8,5,0,0,0
0.25,24,8,6,0,0,0
0.5,24,7,1,0,20,0
0.5,24,7,2,0,0,0
0.5,24,7,3,0,0,0
0.5,24,7,4,0,0,0
0.5,24,7,5,0,0,0
0.5,24,7,6,0,0,0
0.5,24,8,1,0,20,0
0.5,24,8,2,0,0,0
0.5,24,8,3,0,0,0
0.5,24,8,4,0,0,0
0.5,24,8,5,0,0,0
0.5,24,8,6,0,0,0
0.75,24,7,1,0,20,0
0.75,24,7,2,0,0,0
0.75,24,7,3,0,0,0
0.75,24,7,4,0,0,0
0.75,24,7,5,0,0,0
0.75,24,7,6,0,0,0
0.75,24,8,1,0,20,0
0.75,24,8,2,0,0,0
0.75,24,8,3,0,0,0
0.75,24,8,4,0,0,0
0.75,24,8,5,0,0,0
0.75,24,8,6,0,0,0
0,1,9,1,0,20,0
0,1,9,2,0,0,0
0,1,9,3,0,0,0
0,1,9,4,0,0,0
0,1,9,5,0,0,0
0,1,9,6,0,0,0
0,1,10,1,0,20,0
0,1,10,2,0,0,0
0,1,10,3,0,0,0
0,1,10,4,0,0,0
0,1,10,5,0,0,0
0,1,10,6,0,0,0
0.25,1,9,1,0,20,0
0.25,1,9,2,0,0,0
0.25,1,9,3,0,0,0
0.25,1,9,4,0,0,0
0.25,1,9,5,0,0,0
0.25,1,9,6,0,0,0
0.25,1,10,1,0,20,0
0.25,1,10,2,0,0,0
0.25,1,10,3,0,0,0
0.25,1,10,4,0,0,0
0.25,1,10,5,0,0,0
0.25,1,10,6,0,0,0
0.5,1,9,1,0,20,0
0.5,1,9,2,0,0,0
0.5,1,9,3,0,0,0
0.5,1,9,4,0,0,0
0.5,1,9,5,0,0,0
0.5,1,9,6,0,0,0
0.5,1,10,1,0,20,0
0.5,1,10,2,0,0,0
0.5,1,10,3,0,0,0
0.5,1,10,4,0,0,0
0.5,1,10,5,0,0,0
0.5,1,10,6,0,0,0
0.75,1,9,1,0,20,0
0.75,1,9,2,0,0,0
0.75,1,9,3,0,0,0
0.75,1,9,4,0,0,0
0.75,1,9,5,0,0,0
0.75,1,9,6,0,0,0
0.75,1,10,1,0,20,0
0.75,1,10,2,0,0,0
0.75,1,10,3,0,0,0
0.75,1,10,4,0,0,0
0.75,1,10,5,0,0,0
0.75,1,10,6,0,0,0
0,6,9,1,0,20,0
0,6,9,2,0,0,0
0,6,9,3,0,0,0
0,6,9,4,0,0,0
0,6,9,5,0,0,0
0,6,9,6,0,0,0
0,6,10,1,0,20,0
0,6,10,2,0,0,0
0,6,10,3,0,0,0
0,6,10,4,0,0,0
0,6,10,5,0,0,0
0,6,10,6,0,0,0
0.25,6,9,1,0,20,0
0.25,6,9,2,0,0,0
0.25,6,9,3,0,0,0
0.25,6,9,4,0,0,0
0.25,6,9,5,0,0,0
0.25,6,9,6,0,0,0
0.25,6,10,1,0,20,0
0.25,6,10,2,0,0,0
0.25,6,10,3,0,0,0
0.25,6,10,4,0,0,0
0.25,6,10,5,0,0,0
0.25,6,10,6,0,0,0
0.5,6,9,1,0,20,0
0.5,6,9,2,0,0,0
0.5,6,9,3,0,0,0
0.5,6,9,4,0,0,0
0.5,6,9,5,0,0,0
0.5,6,9,6,0,0,0
0.5,6,10,1,0,20,0
0.5,6,10,2,0,0,0
0.5,6,10,3,0,0,0
0.5,6,10,4,0,0,0
0.5,6,10,5,0,0,0
