time_point,date_time,temp_F,RH
258,6/3/18 2:48,88.41,54.937
259,6/3/18 3:03,88.41,54.937
260,6/3/18 3:18,88.41,55.352
261,6/3/18 3:33,88.41,55.096
262,6/3/18 3:48,88.41,54.905
263,6/3/18 4:03,88.41,55.033
264,6/3/18 4:18,88.41,54.969
265,6/3/18 4:33,88.41,54.873
266,6/3/18 4:48,88.41,55.096
267,6/3/18 5:03,88.41,55.16
268,6/3/18 5:18,88.41,55.16
269,6/3/18 5:33,88.41,55.256
270,6/3/18 5:48,88.41,55.575
271,6/3/18 6:03,88.41,55.543
272,6/3/18 6:18,88.41,55.224
273,6/3/18 6:33,88.41,55.288
274,6/3/18 6:48,88.455,55.451
275,6/3/18 7:03,88.41,55.384
276,6/3/18 7:18,88.41,55.192
277,6/3/18 7:33,88.41,55.511
278,6/3/18 7:48,88.41,55.511
279,6/3/18 8:03,88.41,55.32
280,6/3/18 8:18,88.41,55.767
281,6/3/18 8:33,88.41,55.543
282,6/3/18 8:48,88.455,55.834
283,6/3/18 9:03,88.41,55.639
284,6/3/18 9:18,88.455,55.898
285,6/3/18 9:33,88.455,55.675
286,6/3/18 9:48,88.455,55.834
287,6/3/18 10:03,88.455,55.675
288,6/3/18 10:18,88.502,55.774
289,6/3/18 10:33,88.502,55.869
290,6/3/18 10:48,88.502,55.742
291,6/3/18 11:03,88.502,55.231
292,6/3/18 11:18,88.502,55.2
293,6/3/18 11:33,88.502,55.263
294,6/3/18 11:48,88.502,55.455
295,6/3/18 12:03,88.502,55.519
296,6/3/18 12:18,88.502,55.423
297,6/3/18 12:33,88.547,55.841
298,6/3/18 12:48,88.547,55.395
299,6/3/18 13:03,88.547,55.395
300,6/3/18 13:18,88.547,55.522
301,6/3/18 13:33,88.547,55.841
302,6/3/18 13:48,88.547,55.905
303,6/3/18 14:03,88.594,55.303
304,6/3/18 14:18,88.594,55.015
305,6/3/18 14:33,88.594,55.303
306,6/3/18 14:48,88.547,55.107
307,6/3/18 15:03,88.547,55.171
308,6/3/18 15:18,88.594,55.462
309,6/3/18 15:33,88.547,55.395
310,6/3/18 15:48,88.547,55.459
311,6/3/18 16:03,88.547,55.459
312,6/3/18 16:18,88.547,55.395
313,6/3/18 16:33,88.547,55.777
314,6/3/18 16:48,88.547,55.427
315,6/3/18 17:03,88.547,55.682
316,6/3/18 17:18,88.502,55.455
317,6/3/18 17:33,88.502,55.806
318,6/3/18 17:48,88.547,55.522
319,6/3/18 18:03,88.502,55.551
320,6/3/18 18:18,88.502,55.583
321,6/3/18 18:33,88.502,55.774
322,6/3/18 18:48,88.502,55.71
323,6/3/18 19:03,88.455,55.643
324,6/3/18 19:18,88.455,56.089
